t_s,T_true,T_meas,T_filt,u_raw,u_final,state
1314,22.368680652633184,22.595511638343201,22.74016102379143,0,0,0
1315,22.359943291327919,22.341012984144356,22.703874838368968,0,0,0
1316,22.351223404745262,22.677672893818809,22.701492843409863,0,0,0
1317,22.342520957935772,22.505208185632085,22.683648783611883,0,0,0
1318,22.3338359160199,22.679529369109915,22.683274291384432,0,0,0
1319,22.325168244187861,22.346439862566154,22.652652979673679,0,0,0
1320,22.316517907699485,22.855823685422124,22.67112304383263,0,0,0
1321,22.307884871884085,22.628569046117853,22.66725449858583,0,0,0
1322,22.299269102140315,22.641185442482534,22.664884584394621,0,0,0
1323,22.290670563936033,22.734826730285882,22.671242961293824,0,0,0
1324,22.28208922280816,22.297424476444075,22.637259462671121,0,0,0
1325,22.273525044362543,22.130334366195402,22.59117536299151,0,0,0
1326,22.264977994273817,22.541055786642922,22.58661903786891,0,0,0
1327,22.256448038285271,22.249285761719438,22.555952376400775,0,0,0
1328,22.2479351422087,22.737416092406516,22.572449077855843,0,0,0
1329,22.239439271924283,22.220775418650273,22.54047874520079,0,0,0
1330,22.230960393380435,22.278399209679499,22.516653332880672,0,0,0
1331,22.222498472593674,22.729845871867571,22.536034472788572,0,0,0
1332,22.214053475648488,22.214898167753105,22.506840263239894,0,0,0
1333,22.205625368697191,22.229138846359195,22.481594679887102,0,0,0
1334,22.197214117959795,22.95452733848602,22.524588557941549,0,0,0
1335,22.188819689723875,22.517169433543565,22.523914092087185,0,0,0
1336,22.180442050344428,22.407061877464727,22.513291163485142,0,0,0
1337,22.172081166243739,22.138990337954947,22.479263815709672,0,0,0
1338,22.163737003911251,27.370597712039846,22.923930533557868,0,0,0
1339,22.15540952990343,22.360109746021312,22.872674098327273,0,0,0
1340,22.147098710843622,22.585301432785371,22.846549310550738,0,0,0
1341,22.138804513421935,22.601924725754646,22.824310711932913,0,0,0
1342,22.13052690439509,22.484717069406148,22.793438562612298,0,0,0
1343,22.122265850586299,22.146286142604886,22.734606524429807,0,0,0
1344,22.114021318885126,22.427391395908259,22.706677876382393,0,0,0
1345,22.105793276247354,22.448997995762358,22.683252432689663,0,0,0
1346,22.097581689694859,22.706840535558598,22.685396805677748,0,0,0
1347,22.089386526315469,22.319363811611602,22.652121078944461,0,0,0
1348,22.081207753262838,22.617798484791393,22.649000843112365,0,0,0
1349,22.073045337756312,21.80375463212842,22.572160278477462,0,0,0
1350,22.064899247080799,27.195067939439454,22.99242461129219,0,0,0
1351,22.056769448586639,21.961994007372319,22.898749101844928,0,0,0
1352,22.048655909689465,22.246122528259704,22.839419413337179,0,0,0
1353,22.040558597870085,22.323453527293879,22.792513423696878,0,0,0
1354,22.032477480674345,22.656671320904639,22.780164141624855,0,0,0
1355,22.024412525712997,22.190565229780834,22.726564240548125,0,0,0
1356,22.016363700661572,22.593562750431982,22.714473195992113,0,0,0
1357,22.00833097326025,22.170434459897404,22.665015129074412,0,0,0
1358,22.00031431131373,22.4595163272542,22.646333419818028,0,0,0
1359,21.992313682691101,22.601257385883745,22.642235598551274,0,0,0
1360,21.98432905532572,22.157484454329488,22.598167312712931,0,0,0
1361,21.976360397215068,21.988704943033824,22.542761642742104,0,0,0
1362,21.968407676420636,22.473992563189142,22.536509908237289,0,0,0
1363,21.960470861067794,22.182382594022044,22.504316516035903,0,0,0
1364,21.952549919345657,22.020753310154518,22.46035622459214,0,0,0
1365,21.944644819506966,22.603632400158922,22.473381331461848,0,0,0
1366,21.936755529867952,22.124356966212279,22.441651843711888,0,0,0
1367,21.928882018808217,22.363559357715925,22.434552526803163,0,0,0
1368,21.9210242547706,22.294440048329207,22.421815028760076,0,0,0
1369,21.913182206261059,21.960379830754903,22.37986637439597,0,0,0
1370,21.905355841848536,22.343545845271709,22.376564508111947,0,0,0
1371,21.89754513016484,22.365441514421697,22.375553326867379,0,0,0
1372,21.889750039904509,22.364091768982526,22.374511367059664,0,0,0
1373,21.8819705398247,22.466719844677666,22.38289395593403,0,0,0
1374,21.874206598745051,22.169233101877687,22.363470241928908,0,0,0
1375,21.866458185547561,22.031161167741562,22.333260326093693,0,0,0
1376,21.858725269176468,22.582332047252116,22.355903209835368,0,0,0
1377,21.851007818638113,22.298182477650837,22.350655870545864,0,0,0
1378,21.843305803000838,22.52293904817774,22.366317977603309,0,0,0
1379,21.835619191394837,22.208450179086821,22.351966359556357,0,0,0
1380,21.827947953012046,21.93869859299981,22.31439656259667,0,0,0
1381,21.820292057106023,21.714349645341592,22.259846842846208,0,0,0
1382,21.81265147299181,22.047538022480175,22.240546040994751,0,0,0
1383,21.805026170045828,22.396632442096845,22.254735713822214,0,0,0
1384,21.797416117705737,22.314355323000278,22.260155678292946,0,0,0
1385,21.789821285470325,22.004640697937422,22.23692704371517,0,0,0
1386,21.782241642899383,21.960064053987786,22.211757681012681,0,0,0
1387,21.774677159613585,27.262086082575976,22.670878444791164,0,0,0
1388,21.767127805294358,22.126884640845031,22.621424462614243,0,0,0
1389,21.759593549683768,22.140424702902759,22.57769721173138,0,0,0
1390,21.752074362584398,21.928190552834852,22.518651151831694,0,0,0
1391,21.74457021385923,21.804712118583147,22.453747603354554,0,0,0
1392,21.737081073431511,22.263165821512509,22.436421986823458,0,0,0
1393,21.729606911284648,21.916670576183638,22.389171858583474,0,0,0
1394,21.722147697462081,21.921235726019138,22.346632210168533,0,0,0
1395,21.714703402067155,22.493546374321657,22.359988043273361,0,0,0
1396,21.707273995263019,22.183675076421768,22.343959591741399,0,0,0
1397,21.699859447272495,21.847912730763078,22.29886442256155,0,0,0
1398,21.692459728377951,21.798652701701787,22.253390629756119,0,0,0
1399,21.685074808921197,22.192456514161261,22.247851164702041,0,0,0
1400,21.677704659303355,21.798576159068784,22.207007982371746,0,0,0
1401,21.670349249984749,21.950177524414126,22.183659758921053,0,0,0
1402,21.663008551484779,22.208541270111816,22.18592171448385,0,0,0
1403,21.65568253438181,21.710733669557818,22.142722801308757,0,0,0
1404,21.648371169313048,21.889947591494593,22.119743236780195,0,0,0
1405,21.641074426974424,21.438777602414664,22.057837270019693,0,0,0
1406,21.633792278120474,21.509593888545638,22.00799696261296,0,0,0
1407,21.626524693564232,21.797699146700186,21.988878979348161,0,0,0
1408,21.619271644177104,21.755797004399259,21.967689708898263,0,0,0
1409,21.612033100888748,21.889701974455871,21.960599914858044,0,0,0
1410,21.604809034686969,22.078593440435558,21.971326599001454,0,0,0
1411,21.597599416617594,21.89772018066077,21.964635106425028,0,0,0
1412,21.590404217784361,22.007497579175872,21.968531694856924,0,0,0
1413,21.583223409348793,21.734512296571022,21.947257204103661,0,0,0
1414,21.576056962530096,21.812202834163298,21.934979534109083,0,0,0
1415,21.568904848605037,21.900705626189001,21.931863724298164,0,0,0
1416,21.561767038907828,21.932953443673021,21.931962789695877,0,0,0
1417,21.554643504830011,21.510896290294625,21.893684017023038,0,0,0
1418,21.547534217820353,22.042518449243214,21.907214419952144,0,0,0
1419,21.540439149384714,22.135734671887406,21.927988988309895,0,0,0
1420,21.533358271085945,22.001268818104251,21.934650791018473,0,0,0
1421,21.526291554543771,21.80957003117538,21.923279812850918,0,0,0
1422,21.519238971434685,21.935542785087961,21.924394628508832,0,0,0
1423,21.512200493491815,21.869218071080198,21.919378577833502,0,0,0
1424,21.505176092504829,21.503324906880795,21.8815555168378,0,0,0
1425,21.49816574031982,21.609911872404929,21.856860640071176,0,0,0
1426,21.49116940883918,21.794003228889803,21.851146329963779,0,0,0
1427,21.484187070021502,21.571458977055741,21.825720206972139,0,0,0
1428,21.477218695881458,21.770354272930224,21.820686940241057,0,0,0
1429,21.470264258489696,21.486816367524099,21.790335069994061,0,0,0
1430,21.463323729972718,21.826080335454314,21.793584639581358,0,0,0
1431,21.456397082512773,21.540790933359922,21.770603393561228,0,0,0
1432,21.449484288347747,21.829837201062244,21.775988285152231,0,0,0
1433,21.442585319771052,21.967625393300846,21.793409840438468,0,0,0
1434,21.43570014913151,21.616290342543756,21.777308067902585,0,0,0
1435,21.428828748833247,21.75791998774633,21.775545515161106,0,0,0
